id,consent,created,total_payoff,total_time,high_reward,low_reward,more_different,less_different
11,33:03.9,33:03.9,108,0,peach,grape,peach,grape
12,33:05.2,33:05.2,115,0,peach,grape,grape,peach
13,33:06.0,33:06.0,124,0,peach,grape,grape,peach
14,33:11.2,33:11.2,84,0,peach,grape,peach,grape
15,33:18.1,33:18.1,129,0,grape,peach,grape,peach
16,33:21.7,33:21.7,127,0,peach,grape,grape,peach
17,33:35.0,33:35.0,96,0,grape,peach,peach,grape
18,33:36.4,33:36.4,113,0,peach,grape,grape,peach
19,34:15.5,34:15.5,124,0,peach,grape,peach,grape
20,34:16.1,34:16.1,127,0,grape,peach,peach,grape
21,34:57.2,34:57.2,122,0,peach,grape,peach,grape
22,36:39.1,36:39.1,115,0,grape,peach,peach,grape
23,36:47.9,36:47.9,109,0,grape,peach,grape,peach
24,37:08.1,37:08.1,107,0,grape,peach,peach,grape
25,38:08.1,38:08.1,34,0,peach,grape,peach,grape
26,39:06.1,39:06.1,50,0,grape,peach,grape,peach
27,39:30.4,39:30.4,111,0,grape,peach,grape,peach
28,40:18.3,40:18.3,92,0,peach,grape,grape,peach
29,41:54.7,41:54.7,111,0,peach,grape,grape,peach
30,44:44.7,44:44.7,113,0,peach,grape,peach,grape
31,45:32.1,45:32.1,127,0,peach,grape,peach,grape
32,47:43.6,47:43.6,117,0,grape,peach,peach,grape
33,47:46.0,47:46.0,138,0,peach,grape,grape,peach
34,48:41.0,48:41.0,41,0,grape,peach,grape,peach
35,49:35.3,49:35.3,118,0,peach,grape,peach,grape
36,49:44.5,49:44.5,116,0,peach,grape,grape,peach
37,50:41.9,50:41.9,128,0,peach,grape,grape,peach
38,51:14.6,51:14.6,139,0,peach,grape,peach,grape
39,54:58.8,54:58.8,129,0,peach,grape,grape,peach
40,59:17.1,59:17.1,0,0,peach,grape,grape,peach
41,03:50.1,03:50.1,84,0,grape,peach,grape,peach
42,04:33.9,04:33.9,127,0,peach,grape,grape,peach
