StartDate,EndDate,Progress,Duration,Finished,RecordedDate,Q1,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q191,Q192,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q291,Q292
6/5/24 10:34,6/5/24 10:36,100,93,TRUE,6/5/24 10:36,I consent,giraffe,Usain Bolt,acura,measles,eggs,Princeton,stormy,EPA,beetle,broken arm,ISIS,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:36,100,94,TRUE,6/5/24 10:36,I consent,dog,Michael Jordan,dodge,cancer,tacos,Notre Dame,rainy,CIA,bee,broken arm,Al Queda,"In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:36,100,91,TRUE,6/5/24 10:36,I consent,platypus ,Tiger Woods,honda civic ,cancer,orange,Temple University,frigid ,FBI,beetle,concussion,Al Queda ,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:36,100,118,TRUE,6/5/24 10:36,I consent,cat,hank aaron,camaro,leukemia,hot dog,harvard,rainy,fbi,dragonfly,broken arm,plo,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:36,100,117,TRUE,6/5/24 10:36,I consent,Panda,Michael Jordan,Model 3,COVID,Chicken breast,Harvard,Rain,FBI,ant,broken arm,Taliban,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:36,100,116,TRUE,6/5/24 10:36,I consent,platypus,Kobe Bryant,Toyota Tacoma,Malaria,Dumplings,SMU,Rain,CIA,Stick bug,Bone break,ISIS,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:36,100,123,TRUE,6/5/24 10:36,I consent,Zebra,Tiger Woods,Audi,Cardiovascular,Pasta,Yale,Sunny,FBI,Grasshopper,Broken ankle,ISIS,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:36,100,97,TRUE,6/5/24 10:36,I consent,dog,tiger woods,fiat,rabies,pizza,ucla,rain,cia,ant,burn,isis,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones"
6/5/24 10:34,6/5/24 10:36,100,135,TRUE,6/5/24 10:36,I consent,giraffe,michael jordan,toyota,cancer,cheeseburger,Harvard,hurricane,fbi,beetle,Broken leg,al quaeda,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones"
6/5/24 10:34,6/5/24 10:36,100,114,TRUE,6/5/24 10:36,I consent,Bear,Michael Jordan,Volvo,Cancer,Chicken,Harvard,Snow,FBI,Cricket,Broken bone,ISS,"In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
