StartDate,EndDate,Progress,Duration,Finished,RecordedDate,Q1,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q191,Q192
6/5/24 13:01,6/5/24 13:03,100,102,TRUE,6/5/24 13:03,I consent,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones
6/5/24 13:02,6/5/24 13:04,100,94,TRUE,6/5/24 13:04,I consent,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones
6/5/24 13:02,6/5/24 13:04,100,115,TRUE,6/5/24 13:04,I consent,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones
6/5/24 13:02,6/5/24 13:04,100,131,TRUE,6/5/24 13:04,I consent,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones
6/5/24 13:02,6/5/24 13:04,100,131,TRUE,6/5/24 13:04,I consent,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones
6/5/24 13:01,6/5/24 13:04,100,166,TRUE,6/5/24 13:04,I consent,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones
6/5/24 13:02,6/5/24 13:04,100,109,TRUE,6/5/24 13:04,I consent,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones
6/5/24 13:03,6/5/24 13:04,100,79,TRUE,6/5/24 13:04,I consent,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones
6/5/24 13:02,6/5/24 13:04,100,107,TRUE,6/5/24 13:04,I consent,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones
6/5/24 13:02,6/5/24 13:04,100,160,TRUE,6/5/24 13:04,I consent,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones
6/5/24 13:03,6/5/24 13:04,100,97,TRUE,6/5/24 13:04,I consent,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones
6/5/24 13:03,6/5/24 13:04,100,65,TRUE,6/5/24 13:04,I consent,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones
6/5/24 13:02,6/5/24 13:05,100,134,TRUE,6/5/24 13:05,I consent,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones
6/5/24 13:02,6/5/24 13:05,100,180,TRUE,6/5/24 13:05,I consent,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the top half – the better ones,The ones in the top half – the better ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones,The ones in the bottom half – the worse ones
